2026-04-15 16:24:15,269 - INFO - Yahoo daily raw for AAPL: shape=(251, 8), index_type=<class 'pandas.DatetimeIndex'>, index_name=Date, columns=['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'Dividends', 'Stock Splits']
2026-04-15 16:24:15,482 - INFO - Yahoo daily raw for TSLA: shape=(251, 8), index_type=<class 'pandas.DatetimeIndex'>, index_name=Date, columns=['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'Dividends', 'Stock Splits']
2026-04-15 16:24:15,702 - INFO - Yahoo daily raw for GOOG: shape=(251, 8), index_type=<class 'pandas.DatetimeIndex'>, index_name=Date, columns=['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'Dividends', 'Stock Splits']
2026-04-15 16:24:15,941 - INFO - Yahoo daily raw for MSFT: shape=(251, 8), index_type=<class 'pandas.DatetimeIndex'>, index_name=Date, columns=['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'Dividends', 'Stock Splits']
2026-04-15 16:24:16,140 - INFO - Yahoo daily raw for GEHC: shape=(251, 8), index_type=<class 'pandas.DatetimeIndex'>, index_name=Date, columns=['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'Dividends', 'Stock Splits']
2026-04-15 16:24:16,361 - INFO - Yahoo daily raw for AAL: shape=(251, 8), index_type=<class 'pandas.DatetimeIndex'>, index_name=Date, columns=['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'Dividends', 'Stock Splits']
2026-04-15 16:24:16,721 - INFO - Yahoo daily raw for RUM: shape=(251, 8), index_type=<class 'pandas.DatetimeIndex'>, index_name=Date, columns=['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'Dividends', 'Stock Splits']
2026-04-15 16:24:17,283 - INFO - Yahoo daily raw for GE: shape=(251, 8), index_type=<class 'pandas.DatetimeIndex'>, index_name=Date, columns=['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'Dividends', 'Stock Splits']
2026-04-15 16:27:50,508 - INFO - Yahoo daily raw for AAPL: shape=(251, 8), index_type=<class 'pandas.DatetimeIndex'>, index_name=Date, columns=['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'Dividends', 'Stock Splits']
2026-04-15 16:27:50,618 - INFO - Yahoo daily raw for TSLA: shape=(251, 8), index_type=<class 'pandas.DatetimeIndex'>, index_name=Date, columns=['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'Dividends', 'Stock Splits']
2026-04-15 16:27:50,732 - INFO - Yahoo daily raw for GOOG: shape=(251, 8), index_type=<class 'pandas.DatetimeIndex'>, index_name=Date, columns=['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'Dividends', 'Stock Splits']
2026-04-15 16:27:50,870 - INFO - Yahoo daily raw for MSFT: shape=(251, 8), index_type=<class 'pandas.DatetimeIndex'>, index_name=Date, columns=['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'Dividends', 'Stock Splits']
2026-04-15 16:27:51,070 - INFO - Yahoo daily raw for GE: shape=(251, 8), index_type=<class 'pandas.DatetimeIndex'>, index_name=Date, columns=['Open', 'High', 'Low', 'Close', 'Adj Close', 'Volume', 'Dividends', 'Stock Splits']
